ParseTime;AttentionCount;BatteryLevel;PoorSignalQuality;HeartRate;ESenseAttention;ESenseMeditation;PacketContext;RawWaveValue8bit;RawWaveMarker;RawWaveValue16bit;PrintervalMs
16.06.2021 12:58:50:127;0;0;0;0;53;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:51:904;1;0;0;0;91;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:55:946;2;0;0;0;100;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:58:910;3;0;0;0;83;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:00:955;4;0;0;0;83;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:02:903;5;0;0;0;77;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:03:927;6;0;0;0;64;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:09:873;7;0;0;0;75;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:11:824;8;0;0;0;70;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:16:834;9;0;0;0;80;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:17:859;10;0;0;0;93;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:18:794;11;0;0;0;69;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:21:845;12;0;0;0;24;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:24:819;13;0;0;0;63;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:27:793;14;0;0;0;57;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:32:803;15;0;0;0;70;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:34:755;16;0;0;0;93;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:39:769;17;0;0;0;94;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:41:718;18;0;0;0;78;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:42:740;19;0;0;0;78;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:50:720;20;0;0;0;63;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:52:678;21;0;0;0;60;0;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:55:647;22;0;0;0;74;0;0 Анкета.txt;0;0;0;0
16.06.2021 13:00:04:650;23;0;0;0;4;0;0 Анкета.txt;0;0;0;0
16.06.2021 13:00:09:578;24;0;0;0;60;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:11:615;25;0;0;0;83;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:13:567;26;0;0;0;56;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:18:579;27;0;0;0;41;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:20:531;28;0;0;0;56;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:24:525;29;0;0;0;51;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:29:537;30;0;0;0;37;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:34:462;31;0;0;0;51;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:36:505;32;0;0;0;66;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:38:455;33;0;0;0;87;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:39:474;34;0;0;0;74;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:45:419;35;0;0;0;54;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:47:455;36;0;0;0;61;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:50:430;37;0;0;0;66;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:56:372;38;0;0;0;60;0;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:01:06:323;39;0;0;0;54;0;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:08:350;40;0;0;0;53;0;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:13:357;41;0;0;0;74;0;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:18:287;42;0;0;0;87;0;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:24:315;43;0;0;0;50;0;2 Корректурная проба Бурдона.txt;0;0;0;0
