ParseTime;AttentionCount;BatteryLevel;PoorSignalQuality;HeartRate;ESenseAttention;ESenseMeditation;PacketContext;RawWaveValue8bit;RawWaveMarker;RawWaveValue16bit;PrintervalMs
16.06.2021 12:58:50:127;0;0;0;0;0;67;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:51:904;0;0;0;0;0;78;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:55:946;0;0;0;0;0;67;0 Анкета.txt;0;0;0;0
16.06.2021 12:58:58:910;0;0;0;0;0;54;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:00:955;0;0;0;0;0;50;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:02:903;0;0;0;0;0;41;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:03:927;0;0;0;0;0;30;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:09:873;0;0;0;0;0;43;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:11:824;0;0;0;0;0;38;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:16:834;0;0;0;0;0;60;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:17:859;0;0;0;0;0;50;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:18:794;0;0;0;0;0;44;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:21:845;0;0;0;0;0;38;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:24:819;0;0;0;0;0;56;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:27:793;0;0;0;0;0;54;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:32:803;0;0;0;0;0;61;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:34:755;0;0;0;0;0;50;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:39:769;0;0;0;0;0;74;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:41:718;0;0;0;0;0;63;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:42:740;0;0;0;0;0;56;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:50:720;0;0;0;0;0;60;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:52:678;0;0;0;0;0;66;0 Анкета.txt;0;0;0;0
16.06.2021 12:59:55:647;0;0;0;0;0;56;0 Анкета.txt;0;0;0;0
16.06.2021 13:00:00:658;0;0;0;0;0;51;0 Анкета.txt;0;0;0;0
16.06.2021 13:00:04:650;0;0;0;0;0;27;0 Анкета.txt;0;0;0;0
16.06.2021 13:00:09:578;0;0;0;0;0;69;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:11:615;0;0;0;0;0;41;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:13:567;0;0;0;0;0;43;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:18:579;0;0;0;0;0;41;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:20:531;0;0;0;0;0;60;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:24:525;0;0;0;0;0;48;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:29:537;0;0;0;0;0;41;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:34:462;0;0;0;0;0;50;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:36:505;0;0;0;0;0;51;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:38:455;0;0;0;0;0;47;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:39:474;0;0;0;0;0;41;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:45:419;0;0;0;0;0;48;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:47:455;0;0;0;0;0;56;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:50:430;0;0;0;0;0;70;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:56:372;0;0;0;0;0;66;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:00:59:345;0;0;0;0;0;61;1 Методика Пьерона-Рузена.txt;0;0;0;0
16.06.2021 13:01:06:323;0;0;0;0;0;61;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:08:350;0;0;0;0;0;54;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:12:339;0;0;0;0;0;51;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:13:357;0;0;0;0;0;51;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:18:287;0;0;0;0;0;60;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:19:299;0;0;0;0;0;53;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:24:315;0;0;0;0;0;67;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:26:269;0;0;0;0;0;75;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:27:283;0;0;0;0;0;74;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:31:280;0;0;0;0;0;41;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:35:180;0;0;0;0;0;53;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:41:215;0;0;0;0;0;61;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:42:145;0;0;0;0;0;77;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:44:186;0;0;0;0;0;88;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:47:159;0;0;0;0;0;47;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:48:180;0;0;0;0;0;37;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:51:152;0;0;0;0;0;44;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:01:56:76;0;0;0;0;0;60;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:03:129;0;0;0;0;0;54;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:05:74;0;0;0;0;0;54;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:06:98;0;0;0;0;0;53;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:07:30;0;0;0;0;0;48;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:12:44;0;0;0;0;0;83;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:13:64;0;0;0;0;0;64;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:16:30;0;0;0;0;0;38;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:21:45;0;0;0;0;0;77;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:23:1;0;0;0;0;0;90;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:25:973;0;0;0;0;0;77;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:26:991;0;0;0;0;0;69;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:29:964;0;0;0;0;0;75;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:30:986;0;0;0;0;0;69;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:32:939;0;0;0;0;0;56;2 Корректурная проба Бурдона.txt;0;0;0;0
16.06.2021 13:02:38:881;0;0;0;0;0;83;3 САН.txt;0;0;0;0
16.06.2021 13:02:45:856;0;0;0;0;0;38;3 САН.txt;0;0;0;0
16.06.2021 13:02:47:878;0;0;0;0;0;47;3 САН.txt;0;0;0;0
16.06.2021 13:02:50:855;0;0;0;0;0;38;3 САН.txt;0;0;0;0
16.06.2021 13:02:51:871;0;0;0;0;0;51;3 САН.txt;0;0;0;0
16.06.2021 13:02:52:797;0;0;0;0;0;53;3 САН.txt;0;0;0;0
16.06.2021 13:02:54:814;0;0;0;0;0;75;3 САН.txt;0;0;0;0
16.06.2021 13:03:06:821;0;0;0;0;0;64;3 САН.txt;0;0;0;0
16.06.2021 13:03:08:772;0;0;0;0;0;48;3 САН.txt;0;0;0;0
16.06.2021 13:03:09:797;0;0;0;0;0;51;3 САН.txt;0;0;0;0
16.06.2021 13:03:13:791;0;0;0;0;0;60;3 САН.txt;0;0;0;0
16.06.2021 13:03:16:752;0;0;0;0;0;75;3 САН.txt;0;0;0;0
16.06.2021 13:03:20:749;0;0;0;0;0;24;3 САН.txt;0;0;0;0
16.06.2021 13:03:22:702;0;0;0;0;0;48;3 САН.txt;0;0;0;0
